========================================================================================================================
FOUND ZONES - CONSOLIDATED REPORT
Generated: 2026-09-15 06:50:36
========================================================================================================================

Total Zones Found: 379
Sorted by: Distance to Demand Zone (closest first)

115. BLDR   | $   62.76 | Demand: $58.13-$61.02 | Supply: $72.66-$78.75 | Dist: $  1.74 ( 48% ATR) [ ] | RR: 1:2.14 | Fresh: D✗S✓
116. DOC    | $   21.49 | Demand: $19.31-$19.73 | Supply: $20.28-$20.82 | Dist: $  1.76 (358% ATR) [ ] | RR: 1:-0.56 | Fresh: D✓S✗
117. CMCSA  | $   24.66 | Demand: $22.38-$22.86 | Supply: $24.07-$27.10 | Dist: $  1.80 (191% ATR) [ ] | RR: 1:-0.26 | Fresh: D✓S✗
118. ESS    | $  276.11 | Demand: $270.45-$274.31 | Supply: $284.21-$287.64 | Dist: $  1.80 ( 38% ATR) [ ] | RR: 1:1.43 | Fresh: D✗S✓
119. MCHP   | $   76.06 | Demand: $70.45-$74.06 | Supply: $91.90-$100.96 | Dist: $  2.00 ( 44% ATR) [ ] | RR: 1:2.82 | Fresh: D✗S✓
120. DIA    | $  521.60 | Demand: $515.30-$519.52 | Supply: $525.85-$530.09 | Dist: $  2.08 ( 33% ATR) [✓] | RR: 1:0.67 | Fresh: D✓S✗
121. SRE    | $   86.60 | Demand: $82.40-$84.49 | Supply: $92.90-$94.56 | Dist: $  2.11 (120% ATR) [ ] | RR: 1:1.50 | Fresh: D✗S✓
122. BAC    | $   59.12 | Demand: $55.74-$57.00 | Supply: $61.84-$62.98 | Dist: $  2.12 (225% ATR) [ ] | RR: 1:0.80 | Fresh: D✓S✗
123. CSX    | $   48.82 | Demand: $45.15-$46.61 | Supply: $48.53-$49.21 | Dist: $  2.21 (188% ATR) [ ] | RR: 1:-0.08 | Fresh: D✓S✗
124. DAL    | $   84.63 | Demand: $75.99-$82.31 | Supply: $80.93-$83.44 | Dist: $  2.32 ( 89% ATR) [ ] | RR: 1:-0.43 | Fresh: D✗S✗
125. BAX    | $   23.42 | Demand: $20.04-$20.98 | Supply: $23.39-$24.93 | Dist: $  2.44 (180% ATR) [ ] | RR: 1:-0.01 | Fresh: D✓S✗
126. FLEX   | $  114.89 | Demand: $104.90-$112.44 | Supply: $148.36-$152.52 | Dist: $  2.45 ( 28% ATR) [ ] | RR: 1:3.35 | Fresh: D✗S✓
127. XLK    | $  184.86 | Demand: $172.88-$182.41 | Supply: $181.64-$192.08 | Dist: $  2.45 ( 47% ATR) [ ] | RR: 1:-0.27 | Fresh: D✗S✗
