========================================================================================================================
FOUND ZONES - AGGRESSIVE SENSITIVITY
Generated: 2026-09-22 21:52:17
========================================================================================================================

Total Zones Found: 225
Sorted by: Distance to Demand Zone (closest first)

 99. DLR    | $  195.30 | Demand: $181.48-$185.02 | Supply: $197.91-$201.40 | Dist: $ 10.28 (220% ATR) [ ] | RR: 1:0.19 | Fresh: D✗S✓
100. OXY    | $   59.54 | Demand: $47.77-$48.97 | Supply: $58.52-$62.40 | Dist: $ 10.57 (614% ATR) [ ] | RR: 1:-0.09 | Fresh: D✓S✗
101. IR     | $   83.90 | Demand: $70.97-$73.01 | Supply: $81.82-$85.08 | Dist: $ 10.89 (467% ATR) [ ] | RR: 1:-0.16 | Fresh: D✗S✗
102. IRM    | $  126.36 | Demand: $112.04-$115.19 | Supply: $125.95-$130.73 | Dist: $ 11.17 (349% ATR) [ ] | RR: 1:-0.03 | Fresh: D✗S✗
103. DIS    | $  110.36 | Demand: $97.22-$99.05 | Supply: $109.77-$111.81 | Dist: $ 11.31 (462% ATR) [ ] | RR: 1:-0.04 | Fresh: D✓S✗
104. SPG    | $  217.39 | Demand: $202.94-$205.96 | Supply: $218.84-$221.53 | Dist: $ 11.43 (320% ATR) [ ] | RR: 1:0.10 | Fresh: D✗S✓
105. IBKR   | $   95.97 | Demand: $79.76-$84.28 | Supply: $92.40-$96.57 | Dist: $ 11.69 (420% ATR) [ ] | RR: 1:-0.22 | Fresh: D✓S✗
106. MMM    | $  177.78 | Demand: $162.91-$166.05 | Supply: $178.28-$180.97 | Dist: $ 11.73 (320% ATR) [ ] | RR: 1:0.03 | Fresh: D✗S✓
107. CMI    | $  554.01 | Demand: $519.09-$541.91 | Supply: $629.85-$639.21 | Dist: $ 12.10 ( 79% ATR) [ ] | RR: 1:2.17 | Fresh: D✗S✓
108. BKNG   | $  172.61 | Demand: $153.62-$160.38 | Supply: $195.51-$201.40 | Dist: $ 12.23 (178% ATR) [ ] | RR: 1:1.21 | Fresh: D✓S✓
109. VST    | $  148.94 | Demand: $132.72-$136.67 | Supply: $144.84-$167.27 | Dist: $ 12.27 (258% ATR) [ ] | RR: 1:-0.25 | Fresh: D✓S✗
110. XYZ    | $   81.63 | Demand: $67.15-$69.35 | Supply: $80.62-$83.91 | Dist: $ 12.28 (558% ATR) [ ] | RR: 1:-0.07 | Fresh: D✓S✗
111. ALGN   | $  161.39 | Demand: $145.84-$149.10 | Supply: $160.97-$165.41 | Dist: $ 12.28 (269% ATR) [ ] | RR: 1:-0.03 | Fresh: D✗S✗
112. ADP    | $  284.31 | Demand: $268.01-$272.01 | Supply: $285.25-$287.85 | Dist: $ 12.30 (214% ATR) [ ] | RR: 1:0.06 | Fresh: D✗S✓
113. WFC    | $   87.95 | Demand: $73.88-$75.34 | Supply: $85.87-$89.44 | Dist: $ 12.61 (523% ATR) [ ] | RR: 1:-0.15 | Fresh: D✓S✗
114. Q      | $  133.35 | Demand: $116.25-$120.63 | Supply: $139.99-$143.73 | Dist: $ 12.72 (264% ATR) [ ] | RR: 1:0.39 | Fresh: D✗S✓
115. MCD    | $  263.34 | Demand: $247.69-$250.50 | Supply: $270.12-$284.46 | Dist: $ 12.84 (289% ATR) [ ] | RR: 1:0.43 | Fresh: D✗S✓
116. BNY    | $  159.14 | Demand: $143.72-$146.16 | Supply: $161.21-$163.51 | Dist: $ 12.98 (375% ATR) [ ] | RR: 1:0.13 | Fresh: D✓S✓
117. CI     | $  290.85 | Demand: $270.65-$277.56 | Supply: $280.08-$293.15 | Dist: $ 13.30 (192% ATR) [ ] | RR: 1:-0.53 | Fresh: D✗S✗
118. ITW    | $  283.97 | Demand: $265.83-$270.19 | Supply: $275.40-$284.95 | Dist: $ 13.78 (307% ATR) [ ] | RR: 1:-0.47 | Fresh: D✗S✗
119. DHI    | $  154.18 | Demand: $137.42-$140.37 | Supply: $162.07-$165.69 | Dist: $ 13.81 (340% ATR) [ ] | RR: 1:0.47 | Fresh: D✗S✓
120. PRU    | $  123.13 | Demand: $107.43-$109.27 | Supply: $124.39-$126.19 | Dist: $ 13.86 (568% ATR) [ ] | RR: 1:0.08 | Fresh: D✓S✓
121. CB     | $  356.16 | Demand: $337.25-$342.07 | Supply: $360.61-$365.84 | Dist: $ 14.09 (231% ATR) [ ] | RR: 1:0.24 | Fresh: D✗S✓
122. ECHO   | $  101.22 | Demand: $85.36-$87.03 | Supply: $132.33-$147.04 | Dist: $ 14.19 (481% ATR) [ ] | RR: 1:1.96 | Fresh: D✓S✓
123. BX     | $  131.85 | Demand: $112.81-$117.52 | Supply: $134.51-$137.59 | Dist: $ 14.33 (355% ATR) [ ] | RR: 1:0.14 | Fresh: D✓S✓
124. CVX    | $  212.09 | Demand: $194.32-$197.44 | Supply: $207.72-$217.74 | Dist: $ 14.65 (297% ATR) [ ] | RR: 1:-0.25 | Fresh: D✓S✗
