TICKER   PRICE      ATR      DEMAND_ZONE               SUPPLY_ZONE               GAP      D_SIZE   RATIO   
ITW      $284.38    $6.88    $250.11-$256.03           $265.86-$275.60           $9.83    $5.92    0.602  
QCOM     $180.15    $7.54    $168.99-$180.71           $200.10-$226.46           $19.39   $11.72   0.604  
SWK      $94.59     $3.24    $82.19-$88.25             $98.13-$103.65            $9.88    $6.05    0.612  
AXP      $341.78    $7.69    $309.64-$319.53           $335.45-$346.94           $15.92   $9.89    0.621  
AEP      $130.29    $2.83    $122.25-$126.37           $132.92-$139.08           $6.55    $4.12    0.629  
BG       $130.67    $3.92    $106.00-$113.10           $124.14-$129.43           $11.04   $7.10    0.643  
NOC      $552.07    $14.05   $493.84-$512.43           $541.00-$559.70           $28.57   $18.59   0.651  
FISV     $54.44     $2.10    $47.04-$48.95             $51.78-$54.39             $2.83    $1.91    0.675  
BSX      $46.18     $1.86    $42.25-$43.76             $45.99-$48.65             $2.23    $1.51    0.677  
CFG      $74.54     $1.38    $64.93-$66.58             $69.00-$71.20             $2.42    $1.65    0.682  
IRM      $123.93    $4.52    $110.77-$116.83           $125.69-$130.70           $8.86    $6.06    0.684  
WRB      $75.36     $1.38    $67.78-$68.94             $70.62-$71.56             $1.68    $1.16    0.686  
NBIS     $234.83    $24.54   $200.30-$230.99           $275.57-$298.80           $44.58   $30.69   0.688  
LRCX     $286.60    $22.76   $292.93-$318.40           $354.89-$393.07           $36.49   $25.47   0.698  
LMT      $552.93    $17.51   $490.05-$510.00           $538.31-$550.99           $28.31   $19.95   0.705  
VRT      $246.75    $19.73   $220.92-$251.71           $295.10-$305.19           $43.39   $30.79   0.710  
CME      $295.88    $6.56    $256.23-$267.41           $282.87-$289.90           $15.46   $11.18   0.723  
FIS      $40.81     $1.89    $37.42-$38.90             $40.94-$41.84             $2.04    $1.48    0.725  
TRMB     $61.22     $2.00    $48.90-$50.69             $53.15-$59.49             $2.46    $1.79    0.728  
SBAC     $213.55    $6.93    $174.16-$186.93           $204.46-$207.85           $17.53   $12.77   0.728  
PSKY     $11.24     $0.38    $9.35-$9.96               $10.78-$11.20             $0.82    $0.61    0.733  
OMC      $85.05     $3.11    $75.08-$77.65             $81.06-$83.90             $3.41    $2.57    0.753  
FTNT     $169.94    $6.88    $133.05-$141.30           $152.25-$164.01           $10.95   $8.25    0.753  
ARES     $147.00    $5.07    $105.79-$118.16           $134.56-$141.90           $16.40   $12.37   0.754  
L        $116.97    $1.93    $106.92-$108.41           $110.35-$112.31           $1.94    $1.48    0.763  
